Ojibwe,English,Speaker,Audio Link
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/odaanaang___ex105__nj520037_0.mp4
Mishawagaam waasaashkaa.,There are whitecaps out in the lake.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/mishawagaam___ex96__nj520021_0.mp4
Gichi-onzaamaanimad. Waasaashkaa iwe zaaga'igan.,We have a heavy wind. The lake is full of whitecaps.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasaashkaa__ii_ex__sp67670_0.mp4
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.,The trail of the snake shows it must have passed by here.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nameshin__ai_ex__sp66042_0.mp4
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.,There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/oshkiinam___ex101__nj611401.mp4
Niwii-pabaamaakwii noopimiing. Niwii'-andawagoodoo.,I'm going to walk around the woods and set some snares.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/babaamaakwii___ex82__nj527026.mp4
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.,The hunter has been tracking that deer all afternoon.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/babaama_azh__ta_ex__sp67086_0.mp4
Waasamoog manidoog.,There is lightening.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasam__ai2_ex__rg68054_0.mp4
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.,The manitous coming are continuously flashing lightning,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasamoog__ai2_ex__sp67669_0.mp4
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.,He's going to remove the log that was lying across the road.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ikoshim__ta_ex__sp65565.mp4
Gii-aazhawibizo imaa eshpaanig aazhogan.,He drove across the high bridge.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/aazhawibizo__ai_ex__sp65516_0.mp4
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.,You have been hired to go name the new bridge.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiindan__ti1_ex__sp66667_0.mp4
Ogotaan ji-aazhawishkang iwe gete-aazhoganish.,He's afraid to cross that old bridge.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gotan__ai_ex__sp67234_0.mp4
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.,The bridge going across to the US is a low one. It starts in Canada.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/dabasaakosin___ex50__nj591012.mp4
Mii go imaa godagiing gaa-pabaamanokiid 'aw gwiiwizens.,The boy worked around the neighborhood.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/babaamanokii__ai_ex__sp65471_0.mp4
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.,The electric lights went out and that's why it got dark all of a sudden.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkii-dibikate___ex63__es564095.mp4
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.,I prepared beforehand to go snowshoeing tomorrow.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/giizhaa___ex120__nj610009_1.mp4
Gii-mashkawichigaazo 'aw aazhideyaatig gaa-padakinind.,They strengthened the cross they erected.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkawichigaazo__ai_ex__sp65704.mp4
Gii-sagaakwa'igaazo awe gizhe-manidoo imaa aazhideyaatigong.,They nailed Jesus to the cross.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zagaakwa_igaazo__ai_ex__sp66591_0.mp4
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.,She didn't have any idea she was being sent to Washington.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inamanjige___ex31__es562106.mp4
Mii iwidi gaa-izhinizha'amaan Waashtanong gaa-kiizhig.. gaa-kiizhibii'igaadeg 'i onaakonigewin.,When they finished writing up that policy, that is where I sent it, to Washington, D.C.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/izhinizha_an__ti1_ex__sp67172_0.mp4
Gii-pabiiwishkam awe waawaashkeshi gaa-... gaa-pima'anag.,The deer I tracked had small tracks.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/babiiwishkam__ai2_ex__sp66477_0.mp4
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/dawinamaw__ta_ex__sp66174_0.mp4
Odazhiikawaan iniw waawaashkeshiwan gaa-paashkizwaad.,He's working on the deer he shot.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/dazhiikaw__ta_ex__sp65471_0.mp4
Nina'aangish gii-paashkizwaad ini waawaashkeshiwan, agaawaa ogii-kashkinanaan.,When my son-in-law shot the deer, he barely got him.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkinazh__ta_ex__rg68158_0.mp4
Onandawaabamaan iniw gaa-maakinawaad waawaashkeshiwan.,He's looking for the deer he wounded.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/maakinaw__ta_ex__sp66888_0.mp4
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibizo____ex71__nj611371.mp4
Babiiskijiitaa babaa-ayaad.,It wiggles up and down as it moves around.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/babiiskijiitaa___ex117__nj747052.mp4
Gego bimibatwaadangen gibaashkizigan.,Don't run with your gun.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimibatwaadan___ex38__nj61130506.mp4
Anaamisag dazhewag waawaabiganoojiinyag.,Mice nest under the floor.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/anaamisag___ex246__nj520059.mp4
Waawaabiganoojiinyan naa oniimamaan a'a gaazhagenzhish,That old cat has got a mouse in her mouth.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/niimam___ex40__es563115.mp4
Wiisakwemagad odaabaan bimibideg miikanaang.,The car screeches going by on the road.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/wiisakwemagad__ii_ex__rg68358_0.mp4
Zhigwa gii-pimibide 'iw abinoonjiinhwidaabaan.,The schoolbus already went by.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/zhigwa__av_ex__sp65517_0.mp4
Ningii-minikwen waashkobaagamig.,I drank some pop.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/waashkobaagamig__ni_ex__rg68351_0.mp4
Aazhawikana odanimiwinaan iniw maanishtaanishan.,He's taking the sheep across the road.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/animiwizh__ta_ex__sp65337_0.mp4
Mii iwidi aazhawikana gaa-inaagoned.,He trudged across the road through the snow.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/inaagone__ai_ex__sp65362ad_0.mp4
Diba'iganaatig omaa bimaakosidoon.,Lay the yardstick here.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/bimaakosidoon__ti2_ex__sp65570_0.mp4
Aaniish ge omaa ba-onji-nanaamadabid wa'awe. | Aana go naa mawadishiwe.,Why is this person sitting around here? | Well, because he's visiting.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mawadishiwe___ex47__es666081.mp4
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.,The manitous coming are continuously flashing lightning,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasamoog__ai2_ex__sp67669_0.mp4
Indigo naage gii-waasikwiingwe wa'awe. Giminikwe ina.,It looks like this one got shiny-faced. Are you drinking?,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasikwiingwe__ai_ex__sp67671_0.mp4
Gaawiin abisii. Megwaa babaamaadizi.,He's not home. He's on travel status.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/abi__ai_ex__sp66404_0.mp4
Gii-paakaakosin i'iw waasechigan gabe-dibik. Gii-piindigese a'aw obikwaanaajiinh.,The window was left open all night and the bat flew in.,rg,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasechigan__ni_ex__rg68123add_0.mp4
Mashkawaabikad iw waasechigan.,The glass is hard.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/mashkawaabikad__ii_ex__sp66872_0.mp4
Baakibidoon waasechigan.,Pull the window open.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasechigan___ex108__nj61161304.mp4
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.,As it gets dark you should close the curtains on the windows.,nj,https://s3.amazonaws.com/ojibwe-audio-transcoded/gashkiidibikad___ex63__nj523038.mp4
Ingii-piidoon ingo-minikwaajigan iwe waasamoo-bimide.,I brought one gallon of gas.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/ingo-minikwaajigan__qnt_ex__sp66910_0.mp4
Babaamaadagaa 'a nigig.,The otter is swimming around.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/nigig__na_ex__sp65371_0.mp4
Waasizowag igiw manidoominensag.,The beads are shiny.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasizo__ai_ex__sp67672_0.mp4
Gizhii-waasizo awe asin waabishkizid.,That white rock really reflects bright.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waasizo__ai_ex__sp67670_0.mp4
Mii go ingoji niiyo-diba'iganeg ashi-aabita bi-waaseyaag.,About four-thirty in the morning it starts to get light.,es,https://s3.amazonaws.com/ojibwe-audio-transcoded/waaseyaa__ii_ex__sp65906_0.mp4
