ojibwe,english,fst_readings,speaker
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+bimaagonebizo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Mishawagaam waasaashkaa.,There are whitecaps out in the lake.,"[{'word_form': 'mishawagaam', 'fst_analyses': ['mishawagaam+ADVLoc']}, {'word_form': 'waasaashkaa', 'fst_analyses': ['waasaashkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.,There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.,"[{'word_form': 'oshkiinamoog', 'fst_analyses': []}, {'word_form': 'gaa-gii-pimi-miikanaakewaad', 'fst_analyses': ['PVSub/gaa+PVTense/gii+PVDir/bimi+miikanaake+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': 'gii-pimi-ayaawag', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+bimi-ayaa+VAI+Ind+Pos+Neu+3PlProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Niwii-pabaamaakwii noopimiing. Niwii'-andawagoodoo.,I'm going to walk around the woods and set some snares.,"[{'word_form': 'niwii-pabaamaakwii', 'fst_analyses': ['PVTense/wii+babaamaakwii+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'noopimiing', 'fst_analyses': ['noopimiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""niwii'-andawagoodoo"", 'fst_analyses': [""PVTense/wii'+andawagoodoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.,The bridge going across to the US is a low one. It starts in Canada.,"[{'word_form': 'dabasaakosin', 'fst_analyses': ['dabasaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': 'gichi-mookomaanakiing', 'fst_analyses': []}, {'word_form': 'gaa-izhi-aazhawamog', 'fst_analyses': ['PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/izhi+aazhawamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'zhaaganaashiiwakiing', 'fst_analyses': ['zhaaganaashiiwaki+NI+Loc']}, {'word_form': 'onji-maadamon', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.,I prepared beforehand to go snowshoeing tomorrow.,"[{'word_form': 'giizhaa', 'fst_analyses': ['giizhaa+ADVTmp']}, {'word_form': 'ningii-ozhiitaa', 'fst_analyses': ['PVTense/gii+ozhiitaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': ""wii'-ando-bimaagimoseyaan"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bimaagimose+VAI+Cnj+Pos+Neu+1SgSubj""]}, {'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gaawiin geyaabi ogashki'aasiin ji-bimibizo'aad odaabaanan; onzaam gaawiin zaabaabisii.,He's not able to drive a car anymore because he can't see very well.,"[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'geyaabi', 'fst_analyses': ['geyaabi+ADVTmp']}, {'word_form': ""ogashki'aasiin"", 'fst_analyses': [""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj"", ""gashki'+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj""]}, {'word_form': ""ji-bimibizo'aad"", 'fst_analyses': [""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj"", ""PVTense/daa+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj"", ""PVTense/ga+bimibizo'+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'odaabaanan;', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'zaabaabisii', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",nj
Babiiskijiitaa babaa-ayaad.,It wiggles up and down as it moves around.,"[{'word_form': 'babiiskijiitaa', 'fst_analyses': ['babiiskijiitaa+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'babaa-ayaad', 'fst_analyses': ['babaa-ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVDir/babaa+ayaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gego bimibatwaadangen gibaashkizigan.,Don't run with your gun.,"[{'word_form': 'gego', 'fst_analyses': ['gego+ADVNeg']}, {'word_form': 'bimibatwaadangen', 'fst_analyses': ['bimibatwaadan+VTI+Imp+Prb+2SgSubj+0PlObj', 'bimibatwaadan+VTI+Imp+Prb+2SgSubj+0SgObj']}, {'word_form': 'gibaashkizigan', 'fst_analyses': ['baashkizigan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]",nj
Anaamisag dazhewag waawaabiganoojiinyag.,Mice nest under the floor.,"[{'word_form': 'anaamisag', 'fst_analyses': ['anaamisag+ADVLoc']}, {'word_form': 'dazhewag', 'fst_analyses': ['dazhe+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'waawaabiganoojiinyag', 'fst_analyses': ['waawaabiganoojiinh+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",nj
