ojibwe,english,fst_readings,speaker
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+bimaagonebizo+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]",nj
Mishawagaam waasaashkaa.,There are whitecaps out in the lake.,"[{'word_form': 'mishawagaam', 'fst_analyses': ['mishawagaam+ADVLoc']}, {'word_form': 'waasaashkaa', 'fst_analyses': ['waasaashkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Gichi-onzaamaanimad. Waasaashkaa iwe zaaga'igan.,We have a heavy wind. The lake is full of whitecaps.,"[{'word_form': 'gichi-onzaamaanimad', 'fst_analyses': ['PVLex/gichi+onzaamaanimad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'waasaashkaa', 'fst_analyses': ['waasaashkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': ['iwe+PRONDem+NI+Sg']}, {'word_form': ""zaaga'igan"", 'fst_analyses': [""zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]",es
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.,The trail of the snake shows it must have passed by here.,"[{'word_form': 'gii-nameshin', 'fst_analyses': ['PVTense/gii+nameshin+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'ginebig', 'fst_analyses': ['ginebig+NA+ProxSg']}, {'word_form': ""o'omaa"", 'fst_analyses': [""o'omaa+ADVLoc""]}, {'word_form': 'gii-pimi-ayaagwen', 'fst_analyses': ['PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+bimi-ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",es
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.,There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.,"[{'word_form': 'oshkiinamoog', 'fst_analyses': []}, {'word_form': 'gaa-gii-pimi-miikanaakewaad', 'fst_analyses': ['PVSub/gaa+PVTense/gii+PVDir/bimi+miikanaake+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': 'gii-pimi-ayaawag', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+bimi-ayaa+VAI+Ind+Pos+Neu+3PlProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]",nj
Niwii-pabaamaakwii noopimiing. Niwii'-andawagoodoo.,I'm going to walk around the woods and set some snares.,"[{'word_form': 'niwii-pabaamaakwii', 'fst_analyses': ['PVTense/wii+babaamaakwii+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'noopimiing', 'fst_analyses': ['noopimiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""niwii'-andawagoodoo"", 'fst_analyses': [""PVTense/wii'+andawagoodoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]",nj
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.,The hunter has been tracking that deer all afternoon.,"[{'word_form': 'wenda-gabe-ishkwaa-naawakwe', 'fst_analyses': ['PVLex/wenda+PVLex/gabe+ishkwaa-naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+PVLex/gabe+PVLex/ishkwaa+naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+gabe-ishkwaa-naawakwe+ADVTmp']}, {'word_form': 'babaam', 'fst_analyses': []}, {'word_form': '...', 'fst_analyses': []}, {'word_form': ""obabaama'anaan"", 'fst_analyses': [""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem+NI+Pl', 'iniwen+PRONDem+NA+ObvSg', 'iniwen+PRONDem+NA+ObvPl']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': ""a'awe"", 'fst_analyses': [""a'awe+PRONDem+NA+ProxSg""]}, {'word_form': 'gaawased', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Waasamoog manidoog.,There is lightening.,"[{'word_form': 'waasamoog', 'fst_analyses': ['waasamoog+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'manidoog', 'fst_analyses': ['manidoo+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]",rg
Aabiji-waasamoog igiweg manidoog ba-ayaawaad.,The manitous coming are continuously flashing lightning,"[{'word_form': 'aabiji-waasamoog', 'fst_analyses': ['PVLex/aabiji+waasamoog+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'manidoog', 'fst_analyses': ['manidoo+NA+ProxPl']}, {'word_form': 'ba-ayaawaad', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]",es
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.,He's going to remove the log that was lying across the road.,"[{'word_form': 'owii-ikoshimaan', 'fst_analyses': ['PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NI+Pl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NA+ObvPl']}, {'word_form': 'mitigoon', 'fst_analyses': ['mitig+NA+ObvSg', 'mitig+NI+Pl', 'mitig+NA+ObvPl']}, {'word_form': 'gaa-aazhawishininid', 'fst_analyses': ['PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3SgObvSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]",es
