Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj","""<odaanaang>""
	""odaanaang"" ADVLoc
""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-bimaagonebizod>""
	""bimaagonebizo"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<odaanaang>""
	""odaanaang"" ADVLoc
""<bimibatoowan>""
	""bimibatoo"" VAI Ind Pos Neu 3PlObvSubj
	""bimibatoo"" VAI Ind Pos Neu 3SgObvSubj
""<odayan>""
	""day"" NAD ObvPl 3SgProxPoss
	""day"" NAD ObvSg 3SgProxPoss
	""ayaan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<gaa-bimaagonebizod>""
	""bimaagonebizo"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.,The trail of the snake shows it must have passed by here.,"""<gii-pimi-ayaagwen>""
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0SgSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0SgSubj
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0PlSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0PlSubj
	""bimi-ayaa"" PVTense/gii VAI Cnj Pos Dub 3SgProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Cnj Pos Dub 3SgProxSubj","""<gii-nameshin>""
	""nameshin"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<a'aw>""
	""a'aw"" PRONDem
""<ginebig>""
	""ginebig"" NA ProxSg
""<o'omaa>""
	""o'omaa"" ADVLoc
""<gii-pimi-ayaagwen>""
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0SgSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0SgSubj
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0PlSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0PlSubj
	""bimi-ayaa"" PVTense/gii VAI Cnj Pos Dub 3SgProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Cnj Pos Dub 3SgProxSubj
""<.>""
","""<gii-nameshin>""
	""nameshin"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<a'aw>""
	""a'aw"" PRONDem
""<ginebig>""
	""ginebig"" NA ProxSg
""<o'omaa>""
	""o'omaa"" ADVLoc
""<gii-pimi-ayaagwen>""
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0SgSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0SgSubj
	""bimi-ayaa"" PVTense/gii VII Cnj Pos Dub 0PlSubj
	""PVDir/bimi"" PVTense/gii ayaa VII Cnj Pos Dub 0PlSubj
	""bimi-ayaa"" PVTense/gii VAI Cnj Pos Dub 3SgProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Cnj Pos Dub 3SgProxSubj
""<.>""
",
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.,There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.,"""<gii-pimi-ayaawag>""
	""PVDir/bimi"" PVTense/gii ayaaw VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""bimi-ayaa"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Ind Pos Neu 3PlProxSubj","""<oshkiinamoog>""

""<gaa-gii-pimi-miikanaakewaad>""
	""PVTense/gii"" PVSub/gaa PVDir/bimi miikanaake VAI Cnj Pos Neu 3PlProxSubj
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<zhebaa>""
	""zhebaa"" ADVTmp
""<gii-pimi-ayaawag>""
	""PVDir/bimi"" PVTense/gii ayaaw VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""bimi-ayaa"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Ind Pos Neu 3PlProxSubj
""<.>""
","""<oshkiinamoog>""

""<gaa-gii-pimi-miikanaakewaad>""
	""PVTense/gii"" PVSub/gaa PVDir/bimi miikanaake VAI Cnj Pos Neu 3PlProxSubj
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<zhebaa>""
	""zhebaa"" ADVTmp
""<gii-pimi-ayaawag>""
	""PVDir/bimi"" PVTense/gii ayaaw VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""bimi-ayaa"" PVTense/gii VAI Ind Pos Neu 3PlProxSubj
	""PVDir/bimi"" PVTense/gii ayaa VAI Ind Pos Neu 3PlProxSubj
""<.>""
",
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.,The hunter has been tracking that deer all afternoon.,"""<wenda-gabe-ishkwaa-naawakwe>""
	""PVLex/gabe"" PVLex/wenda ishkwaa-naawakwe VII Ind Pos Neu 0SgSubj
	""PVLex/gabe"" PVLex/wenda PVLex/ishkwaa naawakwe VII Ind Pos Neu 0SgSubj
	""gabe-ishkwaa-naawakwe"" PVLex/wenda ADVTmp
""<obabaama'anaan>""
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg","""<wenda-gabe-ishkwaa-naawakwe>""
	""PVLex/gabe"" PVLex/wenda ishkwaa-naawakwe VII Ind Pos Neu 0SgSubj
	""PVLex/gabe"" PVLex/wenda PVLex/ishkwaa naawakwe VII Ind Pos Neu 0SgSubj
	""gabe-ishkwaa-naawakwe"" PVLex/wenda ADVTmp
""<babaam..>""

""<.>""

""<obabaama'anaan>""
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<a'awe>""
	""a'awe"" PRONDem
""<gaawased>""

""<.>""
","""<wenda-gabe-ishkwaa-naawakwe>""
	""PVLex/gabe"" PVLex/wenda ishkwaa-naawakwe VII Ind Pos Neu 0SgSubj
	""PVLex/gabe"" PVLex/wenda PVLex/ishkwaa naawakwe VII Ind Pos Neu 0SgSubj
	""gabe-ishkwaa-naawakwe"" PVLex/wenda ADVTmp
""<babaam..>""

""<.>""

""<obabaama'anaan>""
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""babaama'azh"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<a'awe>""
	""a'awe"" PRONDem
""<gaawased>""

""<.>""
",
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.,He's going to remove the log that was lying across the road.,"""<owii-ikoshimaan>""
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<mitigoon>""
	""mitig"" NI Pl
	""mitig"" NA ObvSg
	""mitig"" NA ObvPl
""<gaa-aazhawishininid>""
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3PlObvSubj
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3SgObvSubj","""<owii-ikoshimaan>""
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<mitigoon>""
	""mitig"" NI Pl
	""mitig"" NA ObvSg
	""mitig"" NA ObvPl
""<gaa-aazhawishininid>""
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3PlObvSubj
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3SgObvSubj
""<imaa>""
	""imaa"" ADVLoc
""<miikanaang>""
	""miikana"" NI Loc
""<.>""
","""<owii-ikoshimaan>""
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""ikoshim"" PVTense/wii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<mitigoon>""
	""mitig"" NI Pl
	""mitig"" NA ObvSg
	""mitig"" NA ObvPl
""<gaa-aazhawishininid>""
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3PlObvSubj
	""aazhawishin"" PVSub/gaa VAI Cnj Pos Neu 3SgObvSubj
""<imaa>""
	""imaa"" ADVLoc
""<miikanaang>""
	""miikana"" NI Loc
""<.>""
",
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.,You have been hired to go name the new bridge.,"""<gidanoonigoo>""
	""anoozh"" VTA Ind Pos Neu XSubj 2SgObj
	""anoozh"" VTA Ind Pos Neu ExclSubj 2SgObj
""<ji-o-wiindaman>""
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj","""<gidanoonigoo>""
	""anoozh"" VTA Ind Pos Neu XSubj 2SgObj
	""anoozh"" VTA Ind Pos Neu ExclSubj 2SgObj
""<ji-o-wiindaman>""
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj
""<i'iw>""
	""i'iw"" PRONDem
""<oshki-aazhogan>""
	""PNLex/oshki"" aazhogan NI Sg
""<.>""
","""<gidanoonigoo>""
	""anoozh"" VTA Ind Pos Neu XSubj 2SgObj
	""anoozh"" VTA Ind Pos Neu ExclSubj 2SgObj
""<ji-o-wiindaman>""
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0SgObj
	""PVDir/o"" PVTense/daa wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj
	""PVDir/o"" PVTense/ga wiindan VTI Cnj Pos Neu 2SgSubj 0PlObj
""<i'iw>""
	""i'iw"" PRONDem
""<oshki-aazhogan>""
	""PNLex/oshki"" aazhogan NI Sg
""<.>""
",
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.,The bridge going across to the US is a low one. It starts in Canada.,"""<gaa-izhi-aazhawamog>""
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0SgSubj
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0PlSubj
	""PVRel/izhi"" PVTense/gii aazhawamon VII Pcp Pos Neu 0SgSubj 0SgHead","""<dabasaakosin>""
	""dabasaakosin"" VII Ind Pos Neu 0SgSubj
""<aazhogan>""
	""aazhogan"" NI Sg
""<gichi-mookomaanakiing>""

""<gaa-izhi-aazhawamog>""
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0SgSubj
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0PlSubj
	""PVRel/izhi"" PVTense/gii aazhawamon VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""

""<zhaaganaashiiwakiing>""
	""zhaaganaashiiwaki"" NI Loc
""<onji-maadamon>""

""<.>""
","""<dabasaakosin>""
	""dabasaakosin"" VII Ind Pos Neu 0SgSubj
""<aazhogan>""
	""aazhogan"" NI Sg
""<gichi-mookomaanakiing>""

""<gaa-izhi-aazhawamog>""
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0SgSubj
	""PVRel/izhi"" PVSub/gaa aazhawamon VII Cnj Pos Neu 0PlSubj
	""PVRel/izhi"" PVTense/gii aazhawamon VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""

""<zhaaganaashiiwakiing>""
	""zhaaganaashiiwaki"" NI Loc
""<onji-maadamon>""

""<.>""
",
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.,The electric lights went out and that's why it got dark all of a sudden.,"""<wenji-gashkii-dibikateg>""
	""gashkii-dibikate"" PVRel/onji VII Pcp Pos Neu 0SgSubj 0SgHead
	""PVLex/gashkii"" PVRel/onji dibikate VII Pcp Pos Neu 0SgSubj 0SgHead","""<gii-aatawesewan>""
	""aatawese"" PVTense/gii VII Ind Pos Neu 0PlSubj
""<ini>""

""<waasigani-waaz..>""

""<.>""

""<waazakonenjiganan>""
	""waazakonenjigan"" NI Pl
""<wenji-gashkii-dibikateg>""
	""gashkii-dibikate"" PVRel/onji VII Pcp Pos Neu 0SgSubj 0SgHead
	""PVLex/gashkii"" PVRel/onji dibikate VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<gii-aatawesewan>""
	""aatawese"" PVTense/gii VII Ind Pos Neu 0PlSubj
""<ini>""

""<waasigani-waaz..>""

""<.>""

""<waazakonenjiganan>""
	""waazakonenjigan"" NI Pl
""<wenji-gashkii-dibikateg>""
	""gashkii-dibikate"" PVRel/onji VII Pcp Pos Neu 0SgSubj 0SgHead
	""PVLex/gashkii"" PVRel/onji dibikate VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.,I prepared beforehand to go snowshoeing tomorrow.,"""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj","""<giizhaa>""
	""giizhaa"" ADVTmp
""<ningii-ozhiitaa>""
	""ozhiitaa"" PVTense/gii VAI Ind Pos Neu 1SgSubj
""<wii'-ando-bimaagimoseyaan>""
	""PVLex/ando"" PVTense/wii' bimaagimose VAI Cnj Pos Neu 1SgSubj
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<.>""
","""<giizhaa>""
	""giizhaa"" ADVTmp
""<ningii-ozhiitaa>""
	""ozhiitaa"" PVTense/gii VAI Ind Pos Neu 1SgSubj
""<wii'-ando-bimaagimoseyaan>""
	""PVLex/ando"" PVTense/wii' bimaagimose VAI Cnj Pos Neu 1SgSubj
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<.>""
",
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.,She didn't have any idea she was being sent to Washington.,"""<aana-gii-izhinizha'ond>""
	""PVTense/gii"" PVTense/aana izhinizha'wi VTA Cnj Pos Neu XSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana izhinizha' VTA Cnj Pos Neu XSubj 3SgProxObj","""<gaawiin>""
	""gaawiin"" ADVNeg
""<gegoo>""
	""gegoo"" PRONIndf
""<gii-inamanjigesii>""

""<aana-gii-izhinizha'ond>""
	""PVTense/gii"" PVTense/aana izhinizha'wi VTA Cnj Pos Neu XSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana izhinizha' VTA Cnj Pos Neu XSubj 3SgProxObj
""<iwidi>""
	""iwidi"" ADVLoc
""<waashtanong>""

""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<gegoo>""
	""gegoo"" PRONIndf
""<gii-inamanjigesii>""

""<aana-gii-izhinizha'ond>""
	""PVTense/gii"" PVTense/aana izhinizha'wi VTA Cnj Pos Neu XSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana izhinizha' VTA Cnj Pos Neu XSubj 3SgProxObj
""<iwidi>""
	""iwidi"" ADVLoc
""<waashtanong>""

""<.>""
",
