ojibwe,english,word_with_ambiguity,fst_readings
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"{'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}","[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-nameshin a'aw ginebig o'omaa gii-pimi-ayaagwen.,The trail of the snake shows it must have passed by here.,"{'word_form': 'gii-pimi-ayaagwen', 'fst_analyses': ['PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+bimi-ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj']}","[{'word_form': 'gii-nameshin', 'fst_analyses': ['PVTense/gii+nameshin+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem""]}, {'word_form': 'ginebig', 'fst_analyses': ['ginebig+NA+ProxSg']}, {'word_form': ""o'omaa"", 'fst_analyses': [""o'omaa+ADVLoc""]}, {'word_form': 'gii-pimi-ayaagwen', 'fst_analyses': ['PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0SgSubj', 'PVTense/gii+bimi-ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+PVDir/bimi+ayaa+VII+Cnj+Pos+Dub+0PlSubj', 'PVTense/gii+bimi-ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Cnj+Pos+Dub+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Oshkiinamoog gaa-gii-pimi-miikanaakewaad. Ganabaj zhebaa gii-pimi-ayaawag.,There are fresh tracks of people making a (snowshoe) trail. They must have been by this morning.,"{'word_form': 'gii-pimi-ayaawag', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+bimi-ayaa+VAI+Ind+Pos+Neu+3PlProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Ind+Pos+Neu+3PlProxSubj']}","[{'word_form': 'oshkiinamoog', 'fst_analyses': []}, {'word_form': 'gaa-gii-pimi-miikanaakewaad', 'fst_analyses': ['PVSub/gaa+PVTense/gii+PVDir/bimi+miikanaake+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': 'gii-pimi-ayaawag', 'fst_analyses': ['PVTense/gii+PVDir/bimi+ayaaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/gii+bimi-ayaa+VAI+Ind+Pos+Neu+3PlProxSubj', 'PVTense/gii+PVDir/bimi+ayaa+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Wenda-gabe-ishkwaa-naawakwe babaam... obabaama'anaan iniwen waawaashkeshiwan a'awe gaawased.,The hunter has been tracking that deer all afternoon.,"{'word_form': 'wenda-gabe-ishkwaa-naawakwe', 'fst_analyses': ['PVLex/wenda+PVLex/gabe+ishkwaa-naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+PVLex/gabe+PVLex/ishkwaa+naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+gabe-ishkwaa-naawakwe+ADVTmp']}","[{'word_form': 'wenda-gabe-ishkwaa-naawakwe', 'fst_analyses': ['PVLex/wenda+PVLex/gabe+ishkwaa-naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+PVLex/gabe+PVLex/ishkwaa+naawakwe+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/wenda+gabe-ishkwaa-naawakwe+ADVTmp']}, {'word_form': 'babaam..', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""obabaama'anaan"", 'fst_analyses': [""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""babaama'azh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': 'waawaashkeshiwan', 'fst_analyses': ['waawaashkeshi+NA+ObvPl', 'waawaashkeshi+NA+ObvSg']}, {'word_form': ""a'awe"", 'fst_analyses': [""a'awe+PRONDem""]}, {'word_form': 'gaawased', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Owii-ikoshimaan iniw mitigoon gaa-aazhawishininid imaa miikanaang.,He's going to remove the log that was lying across the road.,"{'word_form': 'owii-ikoshimaan', 'fst_analyses': ['PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'owii-ikoshimaan', 'fst_analyses': ['PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/wii+ikoshim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'mitigoon', 'fst_analyses': ['mitig+NI+Pl', 'mitig+NA+ObvSg', 'mitig+NA+ObvPl']}, {'word_form': 'gaa-aazhawishininid', 'fst_analyses': ['PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVSub/gaa+aazhawishin+VAI+Cnj+Pos+Neu+3SgObvSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'miikanaang', 'fst_analyses': ['miikana+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Gidanoonigoo ji-o-wiindaman i'iw oshki-aazhogan.,You have been hired to go name the new bridge.,"{'word_form': 'gidanoonigoo', 'fst_analyses': ['anoozh+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'anoozh+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']}","[{'word_form': 'gidanoonigoo', 'fst_analyses': ['anoozh+VTA+Ind+Pos+Neu+XSubj+2SgObj', 'anoozh+VTA+Ind+Pos+Neu+ExclSubj+2SgObj']}, {'word_form': 'ji-o-wiindaman', 'fst_analyses': ['PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'PVTense/daa+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj', 'PVTense/ga+PVDir/o+wiindan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj']}, {'word_form': ""i'iw"", 'fst_analyses': [""i'iw+PRONDem""]}, {'word_form': 'oshki-aazhogan', 'fst_analyses': ['PNLex/oshki+aazhogan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Dabasaakosin aazhogan Gichi-mookomaanakiing gaa-izhi-aazhawamog. Zhaaganaashiiwakiing onji-maadamon.,The bridge going across to the US is a low one. It starts in Canada.,"{'word_form': 'gaa-izhi-aazhawamog', 'fst_analyses': ['PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/izhi+aazhawamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'dabasaakosin', 'fst_analyses': ['dabasaakosin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'aazhogan', 'fst_analyses': ['aazhogan+NI+Sg']}, {'word_form': 'gichi-mookomaanakiing', 'fst_analyses': []}, {'word_form': 'gaa-izhi-aazhawamog', 'fst_analyses': ['PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0SgSubj', 'PVSub/gaa+PVRel/izhi+aazhawamon+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+PVRel/izhi+aazhawamon+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'zhaaganaashiiwakiing', 'fst_analyses': ['zhaaganaashiiwaki+NI+Loc']}, {'word_form': 'onji-maadamon', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Gii-aatawesewan ini waasigani-waaz... waazakonenjiganan wenji-gashkii-dibikateg.,The electric lights went out and that's why it got dark all of a sudden.,"{'word_form': 'wenji-gashkii-dibikateg', 'fst_analyses': ['PVRel/onji+gashkii-dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVRel/onji+PVLex/gashkii+dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}","[{'word_form': 'gii-aatawesewan', 'fst_analyses': ['PVTense/gii+aatawese+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'waasigani-waaz..', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'waazakonenjiganan', 'fst_analyses': ['waazakonenjigan+NI+Pl']}, {'word_form': 'wenji-gashkii-dibikateg', 'fst_analyses': ['PVRel/onji+gashkii-dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead', 'PVRel/onji+PVLex/gashkii+dibikate+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]"
Giizhaa ningii-ozhiitaa wii'-ando-bimaagimoseyaan waabang.,I prepared beforehand to go snowshoeing tomorrow.,"{'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'giizhaa', 'fst_analyses': ['giizhaa+ADVTmp']}, {'word_form': 'ningii-ozhiitaa', 'fst_analyses': ['PVTense/gii+ozhiitaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': ""wii'-ando-bimaagimoseyaan"", 'fst_analyses': [""PVTense/wii'+PVLex/ando+bimaagimose+VAI+Cnj+Pos+Neu+1SgSubj""]}, {'word_form': 'waabang', 'fst_analyses': ['waaban+VII+Cnj+Pos+Neu+0SgSubj', 'waaban+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gaawiin gegoo gii-inamanjigesii aana-gii-izhinizha'ond iwidi Waashtanong.,She didn't have any idea she was being sent to Washington.,"{'word_form': ""aana-gii-izhinizha'ond"", 'fst_analyses': [""PVTense/aana+PVTense/gii+izhinizha'wi+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj"", ""PVTense/aana+PVTense/gii+izhinizha'+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj""]}","[{'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'gegoo', 'fst_analyses': ['gegoo+PRONIndf']}, {'word_form': 'gii-inamanjigesii', 'fst_analyses': []}, {'word_form': ""aana-gii-izhinizha'ond"", 'fst_analyses': [""PVTense/aana+PVTense/gii+izhinizha'wi+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj"", ""PVTense/aana+PVTense/gii+izhinizha'+VTA+Cnj+Pos+Neu+XSubj+3SgProxObj""]}, {'word_form': 'iwidi', 'fst_analyses': ['iwidi+ADVLoc']}, {'word_form': 'waashtanong', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
